subject,relation,object
Fever,indicates,"Malaria, Dengue, Typhoid"
"Malaria, Dengue, Typhoid",has severity,Moderate
"Malaria, Dengue, Typhoid",lasts for,7 days
"Malaria, Dengue, Typhoid",common in,Pan-India
"Malaria, Dengue, Typhoid",available in language,"English, Hindi, Tamil, Telugu, Kannada, Malayalam, Bengali"
Persistent cough,indicates,"Tuberculosis, Bronchitis, COVID-19"
"Tuberculosis, Bronchitis, COVID-19",has severity,Moderate
"Tuberculosis, Bronchitis, COVID-19",lasts for,14 days
"Tuberculosis, Bronchitis, COVID-19",common in,Pan-India
"Tuberculosis, Bronchitis, COVID-19",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Joint pain,indicates,"Chikungunya, Arthritis, Dengue"
"Chikungunya, Arthritis, Dengue",has severity,Moderate
"Chikungunya, Arthritis, Dengue",lasts for,10 days
"Chikungunya, Arthritis, Dengue",common in,Pan-India
"Chikungunya, Arthritis, Dengue",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Skin rash,indicates,"Chickenpox, Measles, Allergic dermatitis"
"Chickenpox, Measles, Allergic dermatitis",has severity,Mild
"Chickenpox, Measles, Allergic dermatitis",lasts for,7 days
"Chickenpox, Measles, Allergic dermatitis",common in,Pan-India
"Chickenpox, Measles, Allergic dermatitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Headache,indicates,"Migraine, Sinusitis, Hypertension"
"Migraine, Sinusitis, Hypertension",has severity,Mild
"Migraine, Sinusitis, Hypertension",lasts for,3 days
"Migraine, Sinusitis, Hypertension",common in,Pan-India
"Migraine, Sinusitis, Hypertension",available in language,"English, Hindi, Tamil, Telugu, Malayalam"
Abdominal pain,indicates,"Gastritis, Appendicitis, Food poisoning"
"Gastritis, Appendicitis, Food poisoning",has severity,Moderate
"Gastritis, Appendicitis, Food poisoning",lasts for,5 days
"Gastritis, Appendicitis, Food poisoning",common in,Pan-India
"Gastritis, Appendicitis, Food poisoning",available in language,"English, Hindi, Tamil, Telugu, Kannada, Bengali"
Diarrhea,indicates,"Gastroenteritis, Cholera, Food poisoning"
"Gastroenteritis, Cholera, Food poisoning",has severity,Moderate
"Gastroenteritis, Cholera, Food poisoning",lasts for,4 days
"Gastroenteritis, Cholera, Food poisoning",common in,Pan-India
"Gastroenteritis, Cholera, Food poisoning",available in language,"English, Hindi, Tamil, Bengali, Gujarati"
Vomiting,indicates,"Food poisoning, Viral infection, Gastritis"
"Food poisoning, Viral infection, Gastritis",has severity,Moderate
"Food poisoning, Viral infection, Gastritis",lasts for,3 days
"Food poisoning, Viral infection, Gastritis",common in,Pan-India
"Food poisoning, Viral infection, Gastritis",available in language,"English, Hindi, Tamil, Telugu, Malayalam"
Fatigue,indicates,"Anemia, Hypothyroidism, Chronic fatigue syndrome"
"Anemia, Hypothyroidism, Chronic fatigue syndrome",has severity,Mild
"Anemia, Hypothyroidism, Chronic fatigue syndrome",lasts for,30 days
"Anemia, Hypothyroidism, Chronic fatigue syndrome",common in,Pan-India
"Anemia, Hypothyroidism, Chronic fatigue syndrome",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Difficulty breathing,indicates,"Asthma, Pneumonia, COPD"
"Asthma, Pneumonia, COPD",has severity,Severe
"Asthma, Pneumonia, COPD",lasts for,14 days
"Asthma, Pneumonia, COPD",common in,North India
"Asthma, Pneumonia, COPD",available in language,"English, Hindi, Punjabi, Urdu"
Sore throat,indicates,"Pharyngitis, Tonsillitis, Common cold"
"Pharyngitis, Tonsillitis, Common cold",has severity,Mild
"Pharyngitis, Tonsillitis, Common cold",lasts for,5 days
"Pharyngitis, Tonsillitis, Common cold",common in,Pan-India
"Pharyngitis, Tonsillitis, Common cold",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Nasal congestion,indicates,"Common cold, Sinusitis, Allergic rhinitis"
"Common cold, Sinusitis, Allergic rhinitis",has severity,Mild
"Common cold, Sinusitis, Allergic rhinitis",lasts for,7 days
"Common cold, Sinusitis, Allergic rhinitis",common in,North India
